nombre,id,wins,losses,tier,rank,LPs actuales,fecha_actualizacion,server
  A Frozen Titan#NA1,7WUCAag5vZWc6-pomeHRBImDy_B_AS5x01jTC8otblYmZCzqtF0igtV2LYnvivtf_Lbr-6mjy_24SQ,73,45,GRANDMASTER,I,943,2026-03-20,na1
 Main Ćocina#la2,0ByQH5X02QhOC1h_CMPBiE8iBL7Zji5pEz34V7dwD3J3-qmnpVF5C7M9-eT0awbijqYvcjauUq1j0g,119,95,EMERALD,II,26,2026-03-20,la2
 Misterx10#LAS,w-ebVqZ79YXL8sG_sKYvVVs6n0PfrebTuqLqwW6Blrho-kItkhCb48LEkZZPFL1aBE0cvEgLSJLR9A,55,44,PLATINUM,II,80,2026-03-20,la2
 Nothing much#EUW,GwNk0DVsnkuOYjgRRkjkxMonqqRFFeHI4v27RggNffyQRuP_Z_oyH2kyI4bbp-MVir632e1M68gJIA,305,272,GRANDMASTER,I,1548,2026-03-20,euw1
 Qiao Gu Tom #KR1,IoKoLQ__wLUAMYIXQK-v5cYlirskyKtN0Z52FR4E7nM92k5f6073X1e0FrQib1HytPQeGC2vAQ_9wA,117,97,MASTER,I,940,2026-03-20,kr
 whats his face#LAS,IJw5WcNEWFEFOV7fV7y_R7njjWgCrM03DpzFEd_rtwLNpF50kYQ2IpubA0LdactF8G2T2B8xvZIgsg,175,168,CHALLENGER,I,1118,2026-03-20,la2
0 5#ggwp,jpITX28qmrBCAupxbzhuHLNO7ILC-DvMSaxuWHh2fykLZ_aPvjKjvFwSfqjIgz3waB_KhWFq6PdNjA,162,122,GRANDMASTER,I,1340,2026-03-25,kr
000lllccc#LAS,0vikfdk3aG6yZ92l5xYP7kST_J_U51idgq0WVX7iV9LKcBzrggOOFh6MCD-Iv_jGOG093fKU2pflVA,45,50,PLATINUM,II,68,2026-03-20,la2
003#adc,7RzRvGS24HH-RjbtHkfkZ8F1kiibkAy9FtCSYtqXkkXFtdw-MtCdiablPxnNuWW_go3jsJ1vDt2FPA,239,237,MASTER,I,1069,2026-03-20,kr
00A#0000,MGAjD8JRBv_HsgaLspcmeEXIfd036Ktwdr5hI0nAu_FgeaQBrTaDEwGuLMkjb_wLxLfIJ6F2XsaOVg,68,62,EMERALD,IV,0,2026-03-20,la2
00정복#kr2,qsi7MpJFXlQGEtW5N-BntooHZcAR9vbxYNf9YXwqiPtRYSKfbrVqjeXnMwd8x1WSDpH6TfZ0BEd9Ww,101,82,MASTER,I,978,2026-03-20,kr
01100110#02132,M8OHxn9D2yas9B0D7Lkr8Qo061RpVEkG6TdixpeB7xCmzxCI62bH1BNCZu1o35L1xHHIxEx-N_bMTA,76,80,MASTER,I,337,2026-03-20,la2
01309331#KR1,yKaulGjFZ0J_MYh6aN8rSHEqwmN0EfDQyd4swl4OvWn7J2Qj0SI27GAlorLnUbsqY21lH924sSKLug,319,306,MASTER,I,935,2026-03-20,kr
03군필프로지망생#FATOP,6UOfXpYPmvpFfLL9iMTRhN9I_C3yc2hxkIwUxYwyFSMHQBrPtodwxqRzkyU09vlHvwy-iPpNGISiZg,204,181,MASTER,I,586,2026-03-20,kr
040402#NA1,tNYFyxqbI6Y7c4AyXtnuMAg3ZAQaEVc54xprFlYIcnTl7YNAZcz7KfPROxB_pkqCYzeVVSrDenquoA,155,135,CHALLENGER,I,1306,2026-03-20,na1
04101110#2022,B_Ay8r721J7YdgcP8nL90sPjRwB9zurvP4GDF6HXM50HKAC6jUHMf9uVCBGuJMook9mnokDdhDF6qQ,54,36,MASTER,I,604,2026-03-20,na1
047652#NA1,yFYarR_kKhJBkCAU1dIiMquMG_Xmfv5ePXzB9QUXS9Urm-7MZo1oO8P_5SYpdx5ksS5-qkzRWF375A,80,57,MASTER,I,437,2026-03-20,na1
06 05 2024#Tafi,IctmmjFLLtiae31N1SrW_eBNo-Uz_yfp-1iJ5__fVP5iiy8X7-brc_orgDg5HDARqGNGQImTmcxOmw,117,99,GRANDMASTER,I,975,2026-03-25,na1
0730#KR1,hCkVQjrvEiEVj_Y5eeaEYaq5EYOPHtSOfNPVZfZYqY7L_6sXM5VZ2OO7wejr19Jh9imbPeNZrZXw7g,106,96,MASTER,I,1014,2026-03-25,kr
076#0314,AHRifxf9VIRLIqLPpoHqBWY_OBOJyMBc-NCLhxv_toTLIdMFovoiZ-Nsx7m0m4VOCvmJJOKoaHyohg,248,231,MASTER,I,1056,2026-03-20,kr
0800 DRAVEN#LAS,_4ah9fYmUSXitS3tzhpnHcDJ6NFIO6hJgE1Sp44I0CjT8DLNI48qTgQ_jqvrJ5NDaQbtLbnDjwv1jg,111,114,PLATINUM,II,26,2026-03-20,la2
0831#KR4,04ZdlqRRCGfjaspruGbqdR51zKT5jtJ6SJM3bCBNtT0HiWHfYnzdVFfCE-EDGhsAjtuvQQqjkZvUIA,146,137,MASTER,I,909,2026-03-20,kr
09정G#KR1,6ouGs_wgU23PK7OmMQ7HZEXeLYZZNHi6FO3aPXxjSGU4x8Enquk4ftIo63Ogqmo00pPGZfSzwfLzxw,83,69,MASTER,I,824,2026-03-25,kr
0PTIMISTADELGOL #LAS,kGG0Wb0IVmOE-Q1hAbEYNCQ98v5rB9AtnlgzaenNrRGMTEiNNTHAI1tneBSFd7pSI8M1kWzwNv8Afg,29,33,PLATINUM,IV,0,2026-03-20,la2
0rsson#PIG,Gk7UJuM89XpiZJ9OWnhS56SZcqcuMiKW9tkzLWAFxK5W3_H0fQn0VDp1UN4k6JcsD6jzvpKgxZYWGg,95,82,EMERALD,III,27,2026-03-20,la2
0ut0fsc0pe#XDD,zPoURJmny33eLjpjBcO69Ct0bE6vUK4qfrJyqw2RZtT4IK-bq4a83oNbIrA2Md404W2XpKm9vR8x6Q,116,76,GRANDMASTER,I,1393,2026-03-25,na1
10 de la mañana#NAC,_fkHYpSMggenmOyuhD9djNqCJYvUH0Y9yezNNr9NgcvS2JshyMYay37aStp9q_gSBBy67BJPqohQBA,134,144,PLATINUM,IV,78,2026-03-20,la2
10 minutes#poro,tp7I9ugOjJQqEXPHXQNsdG7S8xTLjHp8BeGZrYgmk5VxIAWZ9mcNv2GOhexQaYZl-UImor0G8GWSbw,76,64,MASTER,I,340,2026-03-20,na1
10 top#KR2,4LckdaJkKHjZZsmkRFzxnm1IqeU7zlfKKIlpGnIkDYLDP2aSXdOGfPNqqPsJUrWkmRS5Wv7rfxwsmA,273,267,MASTER,I,742,2026-03-25,kr
100 M#100 M,DYclxJsmCLoCc-jQZZ8O9mzT_9sHwJWkY88tGWO887DbDIqfT90zYxrSqquRjX9JomsNyQ4nLnUlOw,267,218,CHALLENGER,I,1523,2026-03-20,kr
100 men#farm,9hkbG08WyK7FENVYSNGnqjW5htQ53JzaVg__2SHziusB9mEkoc8Il6y3Hx2IUlhe14PU7NwYosxffQ,114,91,GRANDMASTER,I,1166,2026-03-25,na1
10007993#LAS,VQriA0V6Fkj5mOPmE2sQpMBIa8_SUXQvg1zo-zpXFg3RD0rEn5lbaBg47sLyEal-ys6uKQR_4XcESg,109,92,GRANDMASTER,I,736,2026-03-20,la2
101MrJim101#SIGMA,C0aCNNPbPl5yo7Kf9lQjSOVseWsC8u7r0cumlrj82exenj-YM9IJZPTZSxiMdil1wKzGg4g-6guBcg,46,41,EMERALD,IV,19,2026-03-20,la2
10JUG#1007,xQeOxgUDisCKXRV3ZTXPysoMJMcqUYcscfdDUURWcmyVFmR7sPnG0ZkSdm67DOE80ATR3AasPTWqWw,247,224,GRANDMASTER,I,1313,2026-03-25,kr
111#0303,opT0tvHMYZUrGvtIkezV7xO1j3qURqMVj3W7A1sjwO_ayTXxgSswQq3AHDaowG24SPBJ-v2MAlWotg,67,59,DIAMOND,I,75,2026-03-20,la2
11111100#EUW,8DSCQwetK9Waffp-vPvMGNV4feKzd0eMnmrQCV-xUrnpaHrb4rPIrGCeBBSPJJF_KbVcnyBiSlbXZg,174,148,MASTER,I,755,2026-03-20,euw1
1111111111112#1414,sNTKTjS6Vc95HWdgiLAVQhlTAiWHS_9mHd4lohMTy3LRcpoH6HwxHq_fYL_g0w8CFCk7dsA3pnSdiQ,53,23,MASTER,I,100,2026-03-25,na1
11Chispita11#LAS,WQ9ebCuO7o3WuFRPRddm2CYki5fqkHvvSS1FKPge3W6aiTgMOVRsBtGRfj_hZi8qlolYVQ5rb0qIfQ,44,38,PLATINUM,II,48,2026-03-20,la2
12 to 12#LAS2,I3Hz_p54bhy2pCW4iAX71Bx-D1Iu5IXNke47kah29gjgpJ45WZoe8L_3Cx2AeTbRMMgyT7GAFKXqfQ,105,75,GRANDMASTER,I,768,2026-03-20,la2
123123412345#NA1,CMM8-tBmjQOy9akNQaPuIcaCfrUOUoaVRMtRCbqN2VOSr6y0CgGOt9xzBC2AL0nW1zN8-K8xQnQzaw,43,17,GRANDMASTER,I,684,2026-03-20,na1
123456#S T,jp1HgXoF3kmDl1OYcqDSLCicSGJWCJJ6aHgtX4hsi2__e6Z7GVjJVxpgFgJtwt2HagT9S8CynL3Pcw,85,71,MASTER,I,886,2026-03-20,kr
123456789#10T,_TpHR-rvKyJfliSu99NdHvmAV47IgMDbCsVrpysfrEEGfPA-U_lDVDs4DgRMUkJ-Sd_zPr2FYPbaAQ,228,212,GRANDMASTER,I,1266,2026-03-20,euw1
12a241d213c61#EUW,qD5HzSNa40zFsCLyy1ojHbLfcxHACYIXRq4NcaUZgByAIV7N69v18ZsvZ94FfvYimQSbkyuxxGvGpA,114,76,GRANDMASTER,I,1276,2026-03-25,euw1
1314#ever,mJSQHLJP83OlmgT_qNEOEC3ohCVFiuyE5Pt0WeNXV2HPiX2L8tkbhp27RFAouWjJ2v-jBM7OneXMlg,228,124,MASTER,I,638,2026-03-20,na1
1334mat#MMMMM,J_ztix7vZvyEvlXMqpE2NXsaiaENseNNDg-UHFhrjS0GNv6sfEVrUvbwLM_4J2mWxfjvzwmYMBjZ-w,142,112,MASTER,I,1076,2026-03-25,euw1
134213412#2314,6dhshllarSxmZBQe75UYIluSxhrwDcEF72J7uN3hoDO7sEPEQOHw9FEVvDu1OqnCvdDINZeH5NTIwQ,91,95,MASTER,I,448,2026-03-20,la2
14小孩幻想赢对线#4453,X_2HsofQsEUj0HyvdVBnAPQUk6OdCC9rouu-lUeqbTFCi6igU1rZFz3mgVZs3A3GImENymJY-rrIfg,273,233,CHALLENGER,I,1582,2026-03-20,kr
1568403175973825#67014,MolzFL5RDkWt9JBNP7uwDX6tL1NEeiOBFnSDcDt3bMmn46PrwJfX7tsc8Ak8gm4e54ybMaBKqOG1EA,140,127,MASTER,I,1222,2026-03-25,euw1
1585 TTR#DTTB,DhZReAkhQ9AwtGJqHK_xOcqYPUnkkp0CBUZ654dmYQ3hixfFoqr8b1Z716oqghpSpCUPBlCJlMWCzQ,139,124,GRANDMASTER,I,1504,2026-03-20,euw1
159357456#LASS,UDlzJthe0VzHJH8GmACy-awc1Qfq9MFhaZN13RwYt5mydIgGPGW6sX1ttTy99Q2yubs-Wk0SXaC4-Q,45,40,MASTER,I,183,2026-03-20,la2
16 lineς#11111,nkse0eIQmwrV5u20J28B90lGzoa1WAKIyN-lnLFvkaIAbHMxpPVUPv3jjamoyBzSH4x-tKsd9WC5Sg,148,131,GRANDMASTER,I,1281,2026-03-25,euw1
1809Lauty#LAS,i9Dwhq0q6Kl5A9TvE149GH2rw8pnBLvmvPnIC3isAKmGSL4j9di6EqJU7BZ7KR-GMy-gpm4j1eUIrw,37,31,EMERALD,IV,0,2026-03-20,la2
19 03 2009#KAYN,2zj2PZXTueXyKgq1X5_yb3qUPmd7H1T2sf7IoUuFgoLz6urryTRiPNHhVlg0inp6yyl6ei1Ue3mHpg,393,392,MASTER,I,784,2026-03-20,euw1
19 70012379#KR1,7kkNPm89OnaZcJMxwtJZICOE0OEYxHB7WRm3VpoGRFRjCbe93gMCzHg07eIG3AEfEbY8hjnPjNGdKg,311,277,GRANDMASTER,I,1190,2026-03-25,kr
1959#829,rn22qRnG4ArhNJ82S4CF0xC8DaDvTqrZykLx-KF58-HG5CTA5T4C_ziKe-c32MJOEMvi2LMmoc8ibg,39,10,EMERALD,II,61,2026-03-20,na1
19991116#KR1,x3bof2_fZe5GSj5UlGSc0Czhc1cjEbaHGS4arFDuwOB6vR7IyyCgd61h-b_PT6I0rcc71Uhy6BKCEg,128,82,CHALLENGER,I,1433,2026-03-20,kr
1AM FREESTYLE#737,TIclC9E408E_UUIhXdhUmxv0WWnEWmEeI7tcPwBdRvhtuU-gOf-F2INWVyU99aDwgJ7hZWGjw5_fIA,83,77,DIAMOND,I,75,2026-03-20,la2
1AlluK#LAS,4GMVL6YdcLBkdCajvd1h-8b-bRfYHWSK7SreCdsVUdwoJEmWnwDqiqSd-eaByHmjJIGNtQgfIXgVJA,72,59,GRANDMASTER,I,768,2026-03-20,la2
1BADCLICKEQUALS#BOOM,eylRQCi3wfgniYx5ULVhsC82crkJohn50mJCvOqOkXLKYT2Tx_wlSHT15xMpXVScBn0tEQgN6Fzimg,33,21,MASTER,I,5,2026-03-20,euw1
1CabeeDouLis#LAS,3OBwNMfDcLOAJEhg0m9bot5U81Y8ckBp0199C8uWzIT0kt8lNHHOFSz_NVxglqIdbFqWI_31EzktaQ,50,41,MASTER,I,24,2026-03-20,la2
1Crazy#LAS,yIJ340PYdhPS4zea2rCSlley8rKDHkcYEOs-EWXtz3LZpc9hyMqJZUczzJrtoxnbxVztKexXywgcOg,104,91,GRANDMASTER,I,866,2026-03-20,la2
1Curioso#LAS,GH6iH0CIhIjhmVp5jXzwZhCsZYHzEmpVW4zJe88kFrurcZtaRbkjrwj4h3C3VwYv18WQGOccE62GSA,65,43,MASTER,I,541,2026-03-20,la2
1G DE TUSSI#LAS,vnM3ATXq9PeTWd9JIjJJnBkSBO70XPxFUUFTesXuzuya1RU4E_QBaRS55UFhJ6_PkMGF6NoZ34rskQ,26,26,PLATINUM,I,16,2026-03-25,la2
1Jiang#2003,ZxnpFcQ302iWc14P41acw21ZjEvvP5XEqIKp4lmK_d0X-sMGpZYfrxha-ncJMaiAhgH8t3W6X36zDQ,493,491,MASTER,I,1034,2026-03-20,kr
1KimJongUn#LAS,E945ZLxOR9nbAWt0arV7e4PjTDDlv3CE5lNcz8hQ3etSyKGXv5eR9r6RuJqaa9AdcpigcfvFZwyrZA,70,49,EMERALD,II,58,2026-03-20,la2
1Lord#545,6ok-zVwo36ghjWiA_7h5jfiln1wHYxDjyKHwDSVwiKhhUWQmNHOIJE0FqkfukMzdnGkz4aDuTXR5ew,47,43,MASTER,I,286,2026-03-20,la2
1Misstery#0405,8uy7eHlKo2r-mrtDiEL33xQyaRdKi_WUkfsvOWVywNUhsRNvdjqB6J2hLwG0bKCWuotVStsFl6HMTg,77,60,GRANDMASTER,I,690,2026-03-20,la2
1Ráin#8783,-2Y3YD9DcpEWY1Hdy0pQCPdGzS2g-JjAZSy3JoYXy8v2_Eh4c40ZS0Bx_SxmifuGOVhPw0oz3eT3hg,114,109,EMERALD,IV,7,2026-03-20,la2
1SC1SC1SC1SC1SC1#1src1,2RvBpr0EuFurmIQfOCUwcuZP4MpCQpI-pVvVYEazuUCyy66th0gcPIJS9mvzGbwdRRVYF9qJIuZRUg,174,115,CHALLENGER,I,1680,2026-03-20,la2
1SPEK#LAS,d0LiPvzT4hI1AEMBzoBOU7gxgBNOAX9N_Z7ytdrEL8bzlZ3BrEC28ERadYECn-y9r-6HYso0l69trA,87,77,DIAMOND,I,75,2026-03-20,la2
1Semi#CAT,OiN02k8fnlqeVyjzn-CZnJ5Lpiq9VjVXEQ21XCXMqUM3DK4wO7NsgeRNXh2mfCJL1kAv7EpSzHwSiA,149,143,MASTER,I,289,2026-03-20,la2
1Shy#UwU,eW9IpPFBIKLODZFDjTxJwceNMwG5anwbeHsrwK2lvdUdDYqb5KY_fFsHndiyzh1A5FhqL4ESZ7PlAA,101,117,MASTER,I,259,2026-03-20,la2
1Sicken#333,f-K5PECL-B6pd2YH_psgyk6G_EesqC5o5fCpbHV0Shd1y1GXXfI5H-adL6k_g57vpl1Sc4L8dufrLw,247,227,GRANDMASTER,I,694,2026-03-20,la2
1Smeex#LAS,7DY1Ps6UJLs-kjRMhl9Xiwn7RKlASotZiX9OX_L4065DWOTuOUPALUoXZ97_T1StSMAYMhvVdA6rtg,101,104,MASTER,I,440,2026-03-20,la2
1Tony#91218,Tt4ELHWjcaqCfSrruQ7zGIH6OH7fY1GFS7M_8QxblxhHhnUGg-SfE6h7u6n6T_0qVYziKF6ZpAmOKg,86,84,MASTER,I,494,2026-03-20,la2
1Trym#LAS,BoydPYlecajq66xhNm16kPXCvFI0nbcptdxvmJwgVIWyTxX9Mg1w072uxnGBFWDfBqOoz5Sa_U7Xnw,142,107,GRANDMASTER,I,806,2026-03-20,la2
1WARE#777,o37bSae5TCu2TWcBR7rA_X2taeNOwHLpRH_EpZXAHBECY3KyOu0G3QLRVvfxEPMmtRx3BMrDJ-0_bA,37,27,MASTER,I,382,2026-03-20,la2
1Zheyss#LAS,_35q-yPLnHUPYkGBenZ-d3HWi1H9WszViQrlKDecT_7yQeCw6Vik3mFYXuxr4Q-0V6UIXRGZ-6-BcA,99,104,DIAMOND,I,75,2026-03-20,la2
1gloo#Kr61,jqCCvughITS93rFi4vuQw_NKQwgUvLsdteEazLQ2-hzYNVnfN18t9tLkxc7cngi0a9sMo-muEpBFlg,153,134,GRANDMASTER,I,1218,2026-03-20,kr
1kms#777,OS57gy7VSkBEEDCP1nng3aV68Lp6iZmIPewoQPAuUKPaTM7L81P_u_ZSsbJIQUX8WU21cNY0bDi7HA,122,105,GRANDMASTER,I,964,2026-03-20,la2
1meân1#just1,rzvdeBXViK9gEGpCXaVwyOSja5e0YDBBdDFkmDCQ6HSl7Sfqj9r81ThEmoXV7NqWHadCqvoVWLI44w,199,187,MASTER,I,890,2026-03-20,euw1
1owen#239,Jk4hRzDkbQ8bc56CZ2mCS9eMburDioEuJ23J5cJYqeNXT_CKhVK-uuWa_POFwg5cph9gFWhT_6QqGA,192,162,MASTER,I,365,2026-03-20,la2
1sdf#LAS,_7_LST7nMT3e6mATgH-83xnRsd2k-0PTafrCWIlPHXgJjme-6RvSQdA-n8wLI5BQxnP1-1OwTRs9DA,72,68,MASTER,I,271,2026-03-20,la2
1v9 Academy#skool,0b3wU9mS8iJk3Hc00BWnfvMM5x8onSTwwBMmu20gDrdAsX9JcW7PpMQ-NUpUAkIpROTaja4YclqmAw,102,58,MASTER,I,160,2026-03-20,na1
1v9 machine#009,FrpCRdMkEHF96iBvLWPgd-iuCcSNH3JEbowQhMcC4-o_0GR-zvIBtc2kOYK_S-GZqhfvfQ0M5Qd7NA,125,69,GRANDMASTER,I,796,2026-03-20,la2
1vesani#Ahri,M8uMXFDFHnKNAu2k2CRav1jUaBB7dnR-3fkEPQ2Bp-lkBpVrOSLFw8RIn6ZlABatqMe8f6J0jZ5AaA,35,29,MASTER,I,51,2026-03-20,la2
1windu#LAS,y8dXG62_M7r1n3X6FGjsctc5d3CXy1owXFK0Yi3mJlMv1GWlHZXbfE1VZ2q2KzR0ZcTcXixKhtrGsA,239,203,GRANDMASTER,I,618,2026-03-20,la2
2 30de#2026,6-iDFTp900eEeK953HfVLXfBaq5jjhv1wGbNqFXtVIG2aTh7w0bvTGGKjTZQBZ4amwx0H-uAgEkIOA,51,48,MASTER,I,93,2026-03-20,euw1
